Unnamed: 0,Review,Original_aspect,Keyword,Product Link,Review Star,Sentiment
152,"We were forced to move into an RV after Hurricane Ian, which meant no more “good” toilet paper for awhile.
I was so happy with betterway! It’s thicker than you’d expect. Softer than you’d expect. Most RV toilet paper is thin - unless you use a lot of it you kind of “have a mess on your hands” but I was pleasantly surprised how much I liked using this brand.
Please keep in mind it’s not the softest toilet paper you’ve ever felt in your life, which makes the price hurt a little. But if you’ve ever cleaned a clogged black water tank, you’ll happily pay for the correct toilet paper. And I’ll continue only using this brand 🙂","perforamnce, ergonomics","thicker, softer",https://www.amazon.com/Bamboo-Toilet-Paper-Betterway-Biodegradable/dp/B07Y7KDZ47/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https%3A%2F%2Fwww.bobvila.com%2Farticles%2Fbest-eco-friendly-products&ascsubtag=0000BV0000215659O1536084120221206040520+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++&th=1,5.0,Positive
153,"This product intrigued me. I find it soft, seems to last much longer than more popular rolls, even though it is smaller in diameter and a little narrower. I will most likely order it again.","Durability, performance, ergonomics","soft, last much longer, smaller",,,Positive
154,"Cute packaging, like that each is wrapped individually. It's not super soft like cottonelle but it's not hard or scratchy either. It has a really nice, appealing texture actually. Even my husband commented on it. And it's quite durable and strong. Happy that this is more gentle for the planet and that I can get it delivered on a schedule so I don't have to worry about it. I looked at other similar companies and this was of a more reasonable price, although not cheap.","aesthic, ergonomics, druability, performance","appealing texture, cute, durable, strong",,,Positive
155,I buy this toilet paper because our home is old (150 yo) and our sewer system is sensitive due to tree roots on our property. I have tried other brands of this type and by far this is the best. It is soft and absorbent. I gave it 4/5 stars ONLY because I wish the rolls were larger. I have this set up as auto ship and we seem to be in the last rolls as the new box arrives:) We are a family of 3 adults and one child.,"ergonomics, performance","larger, soft, absorbent",,4.0,Positive
156,"My biggest disappointment with this product is the rolls are not as big as expected. While the product isn’t as soft as Charmin, I believe it’s more absorbent. It’s not rough really, just not as soft. I’ll probably buy again mainly because it’s sustainable, bamboo, and reduces plastic packaging.","ergonomics, performance","not as big as expected, isn’t as soft, absorbent",,,Positive
157,"So this TP is better than some other ones we've tried (Who Gives a Crap), but it is certainly not a charmin or a cottonelle. It is thinner than either of those two popular brands, but it's better for the environment so that is the trade off. Overall it's pretty good, we will probably continue to use it",ergonomics,thiner                                        ,,,Positive
158,"I am searching for a more eco friendly TP that fits my decorative holde and hoped this was it. It was not. It will do, but it's not very soft, sort of thin, and and on the pricier side. Slightly thinner and less soft than WGAC brand. But the main kicker is that we have a decorative toilet paper holder that works fine with mainstream brands, but not with this or WGAC because the roll diameter is too small. Since I can't fit it onto my holder, my search continues...", adaptability,"too small, cant fit           ",,3.0,negative
159,So I ordered this on 9/11 and it came very quickly. I must say I love the environment and I’m always trying to do better and to do my part but my POOOOR BOOTY HOLE IS INFLAMMED. This paper is like rubbing sand paper on your bum bum. And boy do I wish I could be saying differently but it’s 3:20 am and I’m writing this in pain from my bed… definitely going to try something else but I can’t wait to go back to charmin soft. How I miss that bear bum being happy 🥲,"safety, ergonomics","inflammed, sand paper, pain",,,negative
160,"Although this may be 3-ply it is not soft or thick in any way. It feels like your standard scratchy 'John Wayne' toilet paper (tough, gritty) that most businesses use. I love the idea and eco-friendliness of bamboo, but you are definitely sacrificing the softness and thickness.","performance, ergonomics",not sfot or thick,,2.0,negative
161,"I read great reviews and decided to give this brand of bamboo TP a try. The TP crumbles when it’s wet, much like the TP you find in hotel, which is disappointing because of the cost of their product. I haven’t used a whole roll and I’m disappointed that I can’t return it. Sticking with Reel for bamboo TP.",performance,crumble                               ,,,negative
162,"I bought there rolls to see if they could be a possible replacement for our household TP. I knew it wouldn’t make sense economically but I would be ok with it if the TP still felt nice. …garbage, absolute garbage. This stuff is thinner than the massive rolls you find at hospitals, malls, or schools. Tears very easily and just disintegrates. Will definitely be sticking with Sam’s club TP.",perforamnce,"tears very easily, thinner",,1.0,negative
163,"These cloths are a bit rough and smaller than most cloths. The value is in the carrying/storage case. I really like it. It fits in my purse and its great to transport these. The silicone is soft but sturdy to remain upright. Easy to wipe and clean. When i use all handkerchiefs I will clean the carrying case by submerging it in soap, water, then disinfect it. to fully get it clean. Im new to using handkerchiefs. These are pricey but hopefully in the long run it will be better than having to constantly buy tissues for my allergy affected nose.","ease of storage, ergonomics, ease of use","carry/ storage, fits, sturdy, easey to wipe",https://www.amazon.com/LastTissue-Reusable-Organic-Tissue-Pack/dp/B08FDF38Y6?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https%3A%2F%2Fwww.bobvila.com%2Farticles%2Fbest-eco-friendly-products&ascsubtag=0000BV0000215659O0960095120221207040620+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++&th=1,5.0,Positive
164,"This is a handy and creative device. I dont know how well it works for mucus. I bought it to dab eyes. It does a decent job at that and the holder is good at its job. They could be a little softer for eye use but I think they will soften with use and washing. I cant say how these would treat your nose if you were really sick. For day to day use though, great idea.",ergonomics,softer for eyes                             ,,,Positive
165,"I bought just the handkerchiefs. I wanted to make sure I liked them before I invested in the case. These are smaller than a standard tissue and the smaller than other handkerchiefs I purchased on my quest to find a replacement for disposable tissues. My criteria for a substitute for tissues is that they be small enough to fit in my pocket with creating a bulge but not too much smaller than a tissue. These are a little smaller than a standard tissue. They are heavier than others I have tried, but they are well made and adequately absorbent. They were also the most expensive handkerchiefs I purchased at $2.00 each. I did order a case which will come with more handkerchiefs. These will be the ones that I carry in my purse.","ease of storage, ergonomics","samll fit, heavier                        ",,,Positive
166,"I love the fact that this has a really nice carrying case. Makes it easier than just carrying a handkerchief or tissues. It would be nice if the tissues and little barrier automatically moved down the case when a new tissue is taken out but that’d require some spring mechanism or something. So I get it. This works fine. These tissues are a little smaller than Kleenex, I think. They are pretty absorbent but if your snot is fairly wet, it seeps right through. I’ll definitely use these and likely to buy more, so I can easily have them available","performance, intefernce","abosrbent, seeps through",,4.0,Positive
167,"It's a great idea, but it's not a great solution. The tissues aren't soft and don't absorb much.","Ergonomics, perforamnce","aren't soft, don’t absorb",,,negative
168,"I have rhinitis (just means my nose drips all the time - not mucus, just drips), so I moved away from disposables years ago. I have a hankie in a pocket of most of my clothes that have pockets. I have some beautiful designer hankies, but I also like plain, white, small ones that don't take up much space. I also prefer things that are organic, so I was excited to find these. These are a great size and pretty functional. However, the fabric is just a little thick for folding and using. I waited to write this until I washed them a couple times to see if they would soften up, but they haven't so far. I do use them, but I prefer the thinner fabric of Vermont Country Store's Women's Embroidered Cotton Handkerchiefs, Set Of 12 in white, 11"" square. I wish I had a combo of these two: the smaller, unembroidered organic cotton ""tissues,"" in a slightly thinner fabric. I'm being generous with a 4* - I wouldn't buy them again unless they make a thinner fabric.",Ergonomics,"thick, thinner                           ",,,negative
169,"My main concern is about the case. The separator is not isolating the moisture. It is absulutelly hard to fold and stack clean napkins into the case. I thought it would open somehow, but not. Never use the bottom hole, because I have never manages to stack nepkins so that it is easy to pull them. The fabric is ok though. I ended up just carrying one or two nepkins in my cosmetic pouch.","ease of use, ease of storage  ","hard to fold, pull              ",,3.0,negative
170,I might be doing this wrong but it is a difficult to pull out. I want to do my part for the planet so I’ll keep using and re-using it,ease of use,difficult to pul out                              ,,,negative
171,The little holder is nice but is too big for a pocket and the clothes are rough and tiny. I don't think they are worth the money at all. I will cut up some flannel and make it work. These are very hard on the nose.,Ergonomics,"too big, rough and tiny, hard",,2.0,negative
172,"It's spring allergy season for me, so I need to blow my nose quite often and I produce quite a lot of mucous. I was hoping to reduce my paper waste by purchasing these, but they didn't even last me through a day.

They aren't absorbent at all, and super harsh against my nose. I can't even blow my nose properly once into the tissue, without smearing around my snot. These are NOT for anyone who actually needs to blow their nose - maybe for people who just lightly dab their nose because it dribbles?

The only reason this isn't a one-star is because the packaging is neat. Maybe they should spend more money and research on the actual tissues instead of their nifty carrying case.","Durability, performance, ergonomics","last, absorbent, harsh",,,negative
173,"I’m looking for a reusable handkerchief for women. This would be ok in a pinch, but for everyday doesn’t work for me. It. Even after washing is pretty rough. I’d just like to help the environment by not using so much one use tissue.",ergonomics,rough                                         ,,1.0,negative
174,"I like this floss. It doesn't break easily, it doesn't really shred, and it's not plastic. It has a little bit of texture to it to scrub the tooth and it's thin enough to get between my teeth. The little container is cool but because the hole where the floss comes out and the cutting piece are close together it's a little annoying to grab the floss to start pulling it out. But unless they make the container bigger that's just sort of a tradeoff. I like the small container better.","durability, ergonomics","break, shred, thin, texture, annoying",https://www.amazon.com/Biodegradable-Refillable-Container-Candelilla-Peppermint/dp/B08GF5B67L/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0960095120221207040620%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
175,"I love this floss and the container. I started flossing daily using plastic flossers and realized I didn’t want to be using that much plastic. I found this alternative and it is great!

My responses to reviews I read that made me doubt making the purchase:
1) The edges of the bamboo container were smooth and matched up perfectly. It fits together nice and snug.
2) The floss is grippier than most synthetic floss, but my dentist told me this is ideal and helps remove more tartar and bacteria than smooth floss.
3) The floss doesn’t break any more than synthetic floss. I have one tooth that is notorious for busting any floss I use. With flossing every day for the last 100 days I have experienced this floss break about 4-6 times.
4) This container seems like it will never run out. 100 days in and I still haven’t even needed to use my refill spool that came with it.
5) Economical - given the last point, this floss will last me at least 6 months with the initial spool and the refill. Completely worth it.
2 people found this helpful","ergonomics, safety, durability","smooth, fits, bacteria, break,never run out",,,Positive
176,"I found this floss an excellent replacement for the plastic wax floss I used to buy. The crest floss I have used for years used to snap occasionally, but this floss, despite being thinner and feeling finer, hasn't broken once yet. I've only used it for a couple months though, so months vs years is hardly a good comparison. The flavor is light, more like a hint of mint. I don't have any issues sliding between my teeth. Actually being thinner, it's a litter easier to use. Overall I feel it works just as well as the plastic floss.

Only a minor concern is the spot where the floss comes out of the top of the bottle is right next to the metal sliver so you have this super tiny thread just sticking out. It's not terrible to keep it from falling back in the bottle, but it does happen. I have started pulling extra out to lay onto before snapping off a length of floss to give me more floss to pin with my thumb when I go to use it again.","ergonomics, durability,  intefernce","thinner, finner, broken, mint",,,Positive
177,"I like the idea of minimal waste floss, but there are some catches. The floss is really hard on the gums- you have to floss just so, so as not to cause irritation. The floss breaks/rips often in between teeth. I had to use multiple alternative flossers just to get the broken charcoal floss out of in between my teeth. Also, after the floss is cut per use, it often gets stuck under the cutting mechanism- if you don’t have nails, or your nails are too long, you might have to resort to using tweezers to get the tiniest length out from under the cutting mechanism.
These are slight inconveniences to suffer, but I suppose in the long run it’s worth it.","ergonomics, durability, ease of use","hard, breaks/ rips, stuck, inconvenince",,4.0,Positive
178,"I do like it, but it's difficult to thread and needs to be rethreaded frequently. The design could be improved. I have a floss threader that I use to floss under bridgework, and it comes in handy to rethread this floss when it comes out of the top hole.","ergonomics, aesthics","thread, rethreaded, design",,,Positive
179,"The floss itself is great. Sturdy even for my teeth that are super close together. I've had the floss picks snap on me. Slides in very easily and hasn't broken yet.

Description says peppermint essence but I don't taste that. Its not a huge deal but I had to look up my order again to see if maybe I purchased the wrong one.

The bamboo container is cute. The metal piece on top that cuts the floss is not really in there tight. Sometimes seems it like its going to pop off but I don't really care... I'm sure I won't until I lose it lol.","aesthics, ergonomics, ease of use","cute, pop off, slides in easy         ",,,Positive
180,"I had used a different brand, Xlent, and decided to try this one because of the reusable container. However, I sent it back because it wasn't nearly as effective as the other brand. This one might be good for those with very small spaces between your teeth because it slides easier, but it doesn't expand like the other brand and because of this, it doesn't clean nearly as well. I couldn't see any plaque on this floss, whereas the Xlent brand it's very obvious, which inspires me to repeat until the floss comes out clean.",performance,"expand clean, polaque",,3.0,negative
181,"It was okay as a floss--not great, not horrible--but the charcoal (or something they treated it with) tasted bad. Sent it back.",inteference,"taste, bad                                      ",,,negative
182,"Looks good, unique bamboo case, nice black color, but it's kind of hard to get it out of the unique bamboo case , and I've used this floss a couple of times, and it breaks very easily. So I will not order the floss again.","performance, durability, aesthics","breaks, easily, looks good",,2.0,negative
183,I wanted this floss to be wonderful. Bamboo is such a good alternative to anything else. The floss is thicker than sewing thread-it wouldn’t fit between any of my teeth. It shredded quite easily. Only get this is you have gaps between your teeth.,"perforamnce, ergonomics","fit, thicker, shreded                ",,1.0,negative
184,"I thought it would be a cool, eco-friendly product but it doesn't work. It doesn't just snap, it SHREDS, leaving tiny little strings between your teeth. I had to use like 3x the amount of floss because it kept shredding.","durability, inteference","shreds, strings                                    ",,,negative
185,"I used these to create an ivy backdrop for my room. I also put a few strands of dollar store eucalyptus, and flowers I got from Michaels. These did a beautiful job, they are very cute, and they are super lightweight. I hot glued everything together and cut the strands to fill in the space above my window. This was a cute and easy project. I ran one strand across the top of my wall, then I folded over the end of another strand around top strand, Then I hot glued it. Super easy and fun..","ease of use, aesthics   ","easey, cute project",https://www.amazon.com/JPSOR-Artificial-Greenery-Garlands-Decoration/dp/B06XVRDV67/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0960095120221207040620%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20#customerReviews,5.0,Positive
186,"I remember being a bit nervous to order these because some people had an issue with the scent but I never experienced that as far as I know. They’re super easy to tangle but make for amazing decor once set up. I get so many compliments whenever I take pictures in my room.

I’ve had these vines since April 2021 but they’ve still held up. Still look amazing! In fact, I don’t think they look or feel any different.","durability, aesthics, inteference","held up, look amazing, scent",,,Positive
187,"I was very satisfied, I love my vines! The only problem is that they do smell bad when you open the package. I sprayed some febreze fabric spray on them to make the smell go away and it worked!",inteference,smell bad                             ,,,Positive
188,"I bought these to use at my wedding for a photo wall, which I did not end up doing. I thought they were on one long strip, but they're individual vines (which I probably would have known if I'd read the description better). But that wasn't my issue. The biggest problem was the smell...it was like burnt plastic and sulfur. When I opened the package for the first time inside the venue, people on the other side of the room could smell it. After airing out overnight they lost all of the bad smell so, maybe just don't wait till the last minute to open them like I did. Otherwise they're very nice looking, I have them hanging in my house now with twinkle lights behind them and they look great!","inteference, aesthics","burnt, smell, sulfur, look great",,4.0,Positive
189,Overall i liked how many i got for the price. Have enough to do maybe 3 accent walls have size. Wish they had like a circle ⭕️ on the end to make it for easier tacking. Was able to secure it by placing it in between wall and tack. Yes they did smell fishy but I sprayed them with febreeze and let air dry. I waited to put them up like 2 weeks after air drying and no smell. They are really nice and flexible.,"ease of use, inteference","easier, smell, fishy                  ",,,Positive
190,I did use these vines as a part of a photo back drop and they were long and I had more than enough for that so I used them as decor in other parts of the event. The smell was like a plastic smell but once aired out it went away. If I don’t gm forget I’ll come back and add pictures later.,inteference,plastic smell                           ,,,Positive
191,"It’s a cheap product so you definitely get what you pay for. They are very thin. I stabled them to my ceiling, if you plan on stabling them be aware the staple may cut the vine clear through with little pressure. You’ll need to layer a lot for coverage.","price, durability","cheap, thin",,3.0,Positive
192,"So far they’ve been really good but whenever I first open them, they smell like tuna! Other than that I don’t know if it’s the tape that I’m using or what, but they seem to not ever want to stay up…looks cool though","inteference, aesthitcs, performance","smell, tuna, stay up, cool",,,Positive
193,"I wasn't convinced when I saw other reviews saying that these ivy vines need to air out before you can use them. But WOW, that smell is serious business. It's truly gross and it made me worry about what chemicals were coming off of those things. We aired them out for many days and it did go away, but in the end it wasn't really worth it. The leaves fall off with only a moderate amount of wear and tear -- my kid has them hung like curtains around her bed, and when she pushes the vines aside, a leaf falls off here and there. She's not pulling them or hanging from them or anything! Not recommended overall.","inteference, safety, performance","smell, gross, chemicals, fall off",,2.0,Negative
194,when i opened this package i thought a rat had climbed into the bag and died it was the nastiest smell ever i immediately threw them away made my whole house smell like DEATH,intefernce,"rat, nastiest, smell, death",,1.0,Negative
195,I bought these for My sins babyshower...I got to the venue to decorate and when I took them out of the sealed bag..the smell was HORRIBLE that I gagged!!! I was so upset..I couldn't use any of the ones I bought!!!! It is not 4 days later and they still smell...I threw them out.... it really messed my vision of decorating up!!! I get things smell from packing somwtimes but WOW..never like this!!!!,intefernce,"smell, horrible, gagged",,,Negative
196,"I love these for my sensitive skin! I am allergic to medical tape, regular bandages, peroxide, latex, and EKG goop. My skin normally gets so blistered from a normal bandage that it's often not worth me trying to cover my wounds at all. These produce NO REACTION!

I only caution to really clean the area well before using a bandage. I use 98% isopropyl rubbing alcohol at least around the wound, let it dry for a minute, then place the bandage. Otherwise your skin oil will prevent them from sticking. Especially if you are going to sleep with a bandage overnight. You really have to press it down too, its not just slap it on fast and go on your day.

They're more money than most bandages but wow, they're the only ones that I can actually use. Plus I low-key love that they come in BLACK.","intefernce, ergonomics, aesthics","reaction, press, black",https://www.amazon.com/PATCH-Organic-Bamboo-Adhesive-Bandages/dp/B07RGHYGFK?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0956095120221207040621%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
197,"Anytime I've used bandages , even the ""paper tape"" kind at labs - I have gotten a terrible rash that starts small red bumps, it grows daily, painful and almost impossible to get rid of. I've had to use prescription ointment (perhaps anti-fungal).

But - these are truly non-allergic on the adhesive part that actually sticks to the skin. No allergic reactions! I am thrilled with this product and I hope my next labs, they will use them for me.","safety, ergonomics","non allergic, sticks",,,Positive
198,These aren’t supper sticky which is a blessing for us. My son is a type 1 diabetic and we have to do insulin sticks 3x a day and these are perfect. Also one of the only band aids he doesn’t have an allergic reaction too!,"safety, ergonomics","stocly, a;;ergoc reaction",,,Positive
199,"These bandaids are very soft and definitely for sensitive skin. They are also easy to remove, in fact TOO easy to remove. Wash your hands once and say goodbye to that bandaid you put on 20 min ago. I wish they would improve the adhesive on these because it is terrible.","ergonomics,ease of use, durability","soft, sensitive, remove, goodbye",,4.0,Negative
200,Perfect for people who have allergies to adhesive. These don't react on my wife the way standard bandages do but they don't stick well enough for me to use.,performance,don’t stick                         ,,,Negative
201,"Yay! A product that actually is what it claims to be! They only got a 4 star cuz they don't stick well when wet, but it's a trade off. I'll take that over the severe skin irritation from regular bandages which may also be caused by the glue. Also, they're pricey. They could cut the price a bit by eliminating the cutesy over-packaging. If you really want to promote green living, over-packaging is just not necessary if you have a great product. And they have a great product.

The inflammation and irritation caused by regular bandages is so great that it causes my skin to scab over.","performance, price","stick,pricey                                    ",,,Negative
202,These are ok. I got them because I get rashes from regular bandaids. These don’t stay on as well.,performance,don’t stay on                           ,,3.0,Negative
203,"I tried these bandages after developing a terrible adhesive allergy from another brand of bandage. I had a mole removed from my back, and my bandage left blistered, red, irritated skin from the adhesive. I had to change this thing twice a day, so was running out of placement options since my skin was so raw and irritated. I tried these bamboo bandages, hoping they would not irritate my skin… unfortunately, they still caused redness and irritation. On a positive note, they are extremely sticky and had ultimate staying power. They were almost too sticky, and difficult to peel off. My daughter has used them on her knees after she took a spill on her bike, and she really likes them- especially the coverage and that they don’t fall off at school all day. So they didn’t work for me, but do work for her.","inteferece, safety, ergonomics, ease of use","redness, irritation, sticky, difficult",,,Negative
204,"These are just so super cute and I love that they are made with coconut oil but they don't stick very well. The moment a little bit of water gets on them they are falling off, I wouldn't buy these again sadly.","aesthics, performance","cute, stick, falling off",,2.0,Negative
205,"Love the idea of these and was hopeful, unfortunately, my skin broke out into an allergic reaction the same day I tried one. I've suddenly developed an allergy to adhesive or latex and can't wear any type of regular bandages. Had really high hopes for these but not for me.","inteference, safety",allergic reaction,,,Negative
206,"I really wanted to like this product, I am always looking for Eco-friendly options; and I was excited that they were supposed to be good for sensitive skin. I could not get the Band-Aids to stick to my skin, no matter what I did. I tried switching the bandage for a new one, holding the bandage down on my skin for a few minutes, and a combination of holding it down, and then not moving for a little bit. Every. Single. Time, the bandage popped right off and I had to take it off, as I could not get it to stick again. I had 2 different wounds I tried them on, one is on my finger, so I wrapped the bandage around my finger and held it there for a few minutes, about ten minutes later, the edge of the bandage popped up and would not stick. Definitely NOT worth buying these for how pricey they are. I'm super disappointed in my purchase.",perforamnce,"popped right off, not stick",,1.0,Negative
207,"I loved how long-lasting and sustainable these pens are, all for a reasonable price. However, the writing experience can be improved. I find that my hands get tired quickly when I write a long time. I have to press hard for the ink to come out all the way. I wish there were ballpoint pen options and different colors, like blue. Otherwise, this is a great product!","durability, adaptability, ergonomics","long lasting, tired, hard, options ",https://www.amazon.com/Eco-Friendly-Pens-Sustainable-Recycled-Products/dp/B085WBZRHQ/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0956095120221207040621%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
208,Just received but I’m happy with how these write (I’m pretty particular about my pens)…more medium than fine. If they last as a standard pen would I’ll definitely buy again.,durability,last                                    ,,,Positive
209,"These pens exceeded my expectations. The ink is smooth and writes beautifully. The pen tube is more durable than I expected and it is comfortable. My only hangup is the straw finish on the pen cap, but I do like that it stops the pen from rolling. I have been using these all over my house. I've felt bad about using pens for years because of all the plastic waste. Thank you!","ergonomics, durability, ","smooth, durable, comfotable",,,Positive
210,"I love the idea of a fully recyclable pen, and thought these were a decent price and worth trying out.
Pros: Comfortable to write with for lengthy periods.
Excellent writing quality - the nibs don't dry out like your normal cheap plastic pens, no furious scribbling to get the ink flowing.
Very easy to dismantle and recycle.
Cons: The lids don't fit well and are easily lost, the inner diameter could do with being slightly smaller. After extended use, the surface paper of the pen starts to degrade and feels rough.
Overall, I'm happy with the purchase and would recommend.","ergonomics, durability, performance,e ase of reprocessing","comfortable, lengthy, quality, dismental", ,4.0,Positive
211,"They write well, good even flow of ink. Only problem for me was the pens are a bit narrow for my liking and quite smooth so they tend to slip through my fingers unless I hold them quite tightly. However, the problem was easily solved with a bit of duct tape which makes them a bit thicker and easier to grip.","performance, ergonomics, inteference","flow, narrow, smooth, slip",,,Positive
212,I wanted to find an eco-friendly alternative to biros and am very happy with the smoothness and quality of the black ink as well as the comfortable grip you can get on these pens. Nice to see outer packaging that is completely recyclable too.,ergonomics,"smoothness, comfortable",,,Positive
213,Looked good but honestly ink was gone in minutes ie thankyou wishes.. guest book,"durability, aesthics","gone, minutes, looked",,3.0,Negative
214,The product itself is ok but the box it came in was damaged. It had tried to be repaired with tape before being packaged up and it was a terrible fix. Not a big deal but as this was for a birthday present then also not ideal. Next time don’t bother to try and do anything. A box with no shoddy tape repair is always better than one with tape on it making it look messy.,"ergonomics, aesthics, ease of use","slippery, vool, struggled, difficult", ,,Negative
215,"I had bought a very similar product and been very impressed, probably didn't notice this was a different brand...these are short, much shorter than the others, and run dry in short order. The concept is good and they're not bad to hold, pity to skimp.",ergonomics,"short, bad to hold                ",,2.0,Negative
216,the product itself works fine if not a but pricy however did not expect the card board package to come wrapped in plastic !! will not be buying again,ease of reprocessing,plastic                               ,,,Negative
217,Comfort is not good when you use a lot they are slippery to keep a hold of and the start to come apart quickly,ergonomics,"slippery, com apart",,1.0,Negative
218,"These feel flimsy at first, but I've been using them in my kitchen for a couple months now & so far no problems with tearing or leaking.
And I think the garbage collectors are impressed.","druability, performance","learking, tearing, months",https://www.amazon.com/SUPERBIO-EN13432-Friendly-Compostable-Certified/dp/B098SXQLRJ?th=1&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O1266095120221207040721%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tag=bv-untagged-20,5.0,Positive
219,"I can honestly say that not all biodegradable bags are created equal. I’ve had some that ripped as soon as I opened them up, so purchasing a new brand is always a gamble. These ones work pretty darn good. Our state has enforced new rules that require food scraps and compostable materials to be separated from regular trash. I use these for all of the food scraps and weekly cleaning of the refrigerator. One Bag was able to hold up to a fairly decent sized rotisserie chicken carcass, some fruit that had gone bad, and other miscellaneous items. Even with the weight and moisture inside the bag, I could still tie up the top of it, and take it to the compost bin without it ripping. The box it came in also stores nicely underneath the kitchen sink and doubles as a dispenser.","ease of storage, performance, adaptability","stores, ripping, chicken, fruit, scraps", ,,Positive
220,"We started using these for our little bit of garbage. They fit perfectly into an IKEA garbage container- like they were made for each other. This is a better package than a similar product we used previously - that is no longer available. Compact box, easy to dispense and good price!","ease of reprocessing, ergonomics","dispense, fit                            ",,,Positive
221,"The size fits the standard organic waste basket, our waste management provided, however when we put things into, at times it the outer linings start to get undone (closing in the container) so I find myself readjusting it to stay in place/open.

Depends on how heavy the items get but for heavier organic items like watermelon skin, definitely use 2 bags as it will rip.",performance,"rip, outer lingings, undone",,4.0,Positive
222,"These bags are awesome, the price is decent and duh, compostable. But, I’ve had a few bags rip at the seem, tear if there’s anything even remotely pointy in them (like fruit stems) and I’ve had a few bags that were just fused shut so I couldn’t use them. Overall I like these and will probably buy again but there are definitely some quality control issues!","ergonomics, performance","shut, rip, quality            ",,,Positive
223,I wish I bought the bags with the handle. I did have to get a new trash bin. The bags were too small. I had an initial leak when I first used the bags. It may have been from a sharp object. I am glad I made the switch. I am close to being plastic bag free.,"ergonomics, performance","small, leak                         ",,,Positive
224,"I have bought this brand before. I didn't like this one is particular.
They are not strong enough they break so easily with the moisture.","perforamnce, durability","break, strong, easily",,3.0,Negative
225,"Have no strings or other mechanism to tie them. Seem smaller than regular 13l bags.
Are very flimsy and when you try to tie them they tend to break","ergonomics, performance","no strings, break                  ",,,Negative
226,This bag isn’t long enough to fit over the edges of our 13 gallon trash can (Kholer from Costco). The bag falls completely inside the can when garbage is added.,ergonomics,"long, falls                                   ",,2.0,Negative
227,"The roll had a piece of tape holding the bags down. When I removed the tape it ripped a hole in the bag, making it unusable. These are $0.17 a bag, so that was a waste of an expensive bag. Disappointed they didn't think about the tape.","ergonomics, ease of use","ripped, tape, unusable",,,Negative
228,"These bags are a royal pain since they are too small for my 2.5 trash can. The bag does not have enough volume or capacity to keep from falling into the trash can over the lip. Cheaply manufactures- You can tell that the back material was folded first, then sealed and perforated. This method as executed on these bags cuts off a significant portion of the volume.","ergonomics, performance","too small, volume, falling   ",,1.0,Negative
229,"I use loose tea and it does have fine powder but this seems to keep everything inside. It is so easy to use and clean. It saves so much time. It arrived on time, packaged well. The product is made up of thin stainless steel but it was not damaged when I received it as it was packaged well. I will recommend it to my friends and family.","ease of use, ease of reprocessing","easy to use, clean",https://www.amazon.com/gp/product/B075K57B73?ie=UTF8&th=1&linkCode=sl1&tag=earthfullif0f-20&linkId=6d1ec1d9e3bbfe29d4e5a3a040924eb5&language=en_US&ref_=as_li_ss_tl,5.0,Positive
